product,material,region,city,craft_process,platform,price,sales,rating,reviews
wall hanging,clay,rajasthan,kolkata,handcrafted,meesho,2219,150,4.3,131
necklace,silk,west bengal,hyderabad,handloom weaving,meesho,3389,130,3.9,400
handbag,bamboo,uttar pradesh,jaipur,block printing,amazon,6839,186,4.8,361
handbag,wood,gujarat,jaipur,handloom weaving,meesho,3191,64,3.8,387
wall hanging,stone,uttar pradesh,hyderabad,block printing,meesho,7157,46,3.8,31
shawl,cotton,west bengal,kanchipuram,loom weaving,flipkart,4454,249,4.1,299
lamp,jute,rajasthan,puri,metal casting,flipkart,998,141,4.5,265
statue,silk,tamil nadu,jaipur,traditional carving,meesho,4265,241,4.5,350
statue,terracotta,gujarat,hyderabad,hand-woven,etsy,7494,206,3.7,142
vase,cotton,karnataka,kolkata,block printing,flipkart,3150,142,4.8,143
handbag,jute,gujarat,kanchipuram,handcrafted,meesho,2196,101,4.1,490
scarf,bamboo,gujarat,puri,metal casting,amazon,1851,131,4.1,264
saree,stone,karnataka,jaipur,metal casting,etsy,6520,40,4.5,212
lamp,terracotta,gujarat,varanasi,block printing,flipkart,1679,76,4.1,210
handbag,bamboo,andhra pradesh,varanasi,pottery shaping,flipkart,7097,214,4.9,281
shawl,wood,karnataka,kanchipuram,loom weaving,amazon,5782,155,4.7,448
handbag,jute,west bengal,hyderabad,handloom weaving,amazon,4755,98,4.5,44
bracelet,wood,gujarat,kanchipuram,handloom weaving,meesho,5569,11,3.7,30
scarf,silk,tamil nadu,mysore,metal casting,meesho,4443,211,3.8,85
vase,wood,tamil nadu,hyderabad,handloom weaving,amazon,1228,111,4.3,56
saree,clay,west bengal,ahmedabad,loom weaving,etsy,1919,207,4.3,258
statue,jute,odisha,jaipur,metal casting,amazon,4909,60,4.8,236
necklace,silk,tamil nadu,ahmedabad,handcrafted,flipkart,5605,186,4.7,100
scarf,brass,rajasthan,mysore,pottery shaping,meesho,5065,38,4.1,399
handbag,wood,uttar pradesh,hyderabad,handcrafted,flipkart,7978,102,4.4,450
vase,jute,uttar pradesh,varanasi,hand-woven,amazon,7472,165,4.9,225
scarf,clay,rajasthan,varanasi,hand-woven,etsy,4859,22,4.1,10
necklace,cotton,west bengal,hyderabad,loom weaving,etsy,583,102,3.9,369
wall hanging,clay,odisha,kolkata,traditional carving,flipkart,5134,77,4.5,405
bracelet,brass,uttar pradesh,kanchipuram,pottery shaping,flipkart,4463,205,4.5,227
lamp,wood,rajasthan,varanasi,pottery shaping,meesho,3375,95,4.2,304
saree,clay,rajasthan,hyderabad,hand-woven,etsy,2333,102,4.6,314
scarf,brass,odisha,mysore,hand-woven,flipkart,481,55,4.8,335
necklace,stone,odisha,jaipur,hand-woven,amazon,7569,30,4.2,486
saree,cotton,uttar pradesh,ahmedabad,pottery shaping,amazon,346,207,4.2,285
scarf,cotton,odisha,mysore,hand-woven,amazon,5811,215,4.8,411
necklace,brass,odisha,kolkata,hand-woven,etsy,3761,166,3.9,351
handbag,jute,rajasthan,puri,loom weaving,meesho,1667,139,4.9,205
statue,terracotta,gujarat,kolkata,block printing,meesho,2626,195,3.5,309
lamp,wood,tamil nadu,jaipur,pottery shaping,meesho,7810,172,3.9,107
bracelet,silk,uttar pradesh,kanchipuram,traditional carving,etsy,6547,29,4.4,249
wall hanging,bamboo,tamil nadu,puri,metal casting,meesho,5398,205,3.9,141
lamp,bamboo,rajasthan,varanasi,block printing,etsy,2164,37,3.9,62
statue,clay,rajasthan,kolkata,pottery shaping,amazon,1418,205,4.9,392
handbag,silk,odisha,kolkata,pottery shaping,etsy,1833,130,4.7,176
handbag,jute,west bengal,hyderabad,metal casting,etsy,1008,239,3.6,294
saree,stone,andhra pradesh,jaipur,traditional carving,meesho,5228,204,5.0,460
necklace,silk,gujarat,ahmedabad,traditional carving,flipkart,6685,212,3.8,222
lamp,stone,gujarat,puri,handcrafted,meesho,569,92,4.6,473
lamp,stone,west bengal,kolkata,pottery shaping,etsy,1516,96,4.1,307
handbag,bamboo,rajasthan,hyderabad,handloom weaving,meesho,3695,233,3.8,124
shawl,wood,uttar pradesh,varanasi,pottery shaping,amazon,2924,101,4.2,165
necklace,wood,gujarat,kanchipuram,metal casting,meesho,3670,243,4.2,99
statue,stone,andhra pradesh,kanchipuram,traditional carving,flipkart,1365,83,4.8,206
statue,cotton,karnataka,jaipur,handcrafted,amazon,5021,90,3.6,461
statue,terracotta,west bengal,puri,handcrafted,amazon,1990,197,3.9,157
wall hanging,clay,odisha,varanasi,loom weaving,amazon,7500,201,4.4,448
saree,wood,gujarat,puri,hand-woven,amazon,6275,138,4.8,240
necklace,jute,karnataka,mysore,traditional carving,amazon,7460,123,4.0,67
necklace,brass,karnataka,puri,traditional carving,etsy,6772,239,3.9,299
lamp,jute,karnataka,kanchipuram,pottery shaping,meesho,7344,59,4.3,350
handbag,cotton,tamil nadu,jaipur,traditional carving,meesho,2075,176,4.3,390
lamp,stone,andhra pradesh,kolkata,handloom weaving,flipkart,5741,220,3.7,303
wall hanging,silk,tamil nadu,puri,block printing,etsy,5742,22,4.3,177
lamp,wood,andhra pradesh,jaipur,traditional carving,amazon,7879,67,3.8,443
bracelet,bamboo,rajasthan,hyderabad,handcrafted,meesho,6100,87,3.9,353
shawl,wood,west bengal,varanasi,handloom weaving,meesho,3842,248,4.3,467
bracelet,silk,gujarat,kolkata,pottery shaping,amazon,4946,204,4.9,171
vase,brass,odisha,jaipur,hand-woven,etsy,6762,109,3.8,267
saree,terracotta,karnataka,varanasi,metal casting,amazon,1285,136,4.1,191
bracelet,clay,andhra pradesh,varanasi,handcrafted,flipkart,2352,64,3.9,42
handbag,bamboo,tamil nadu,varanasi,hand-woven,etsy,585,173,3.7,270
handbag,clay,rajasthan,puri,hand-woven,flipkart,4004,26,4.5,215
shawl,clay,rajasthan,varanasi,handloom weaving,amazon,3325,104,4.9,346
statue,stone,karnataka,jaipur,traditional carving,etsy,3706,167,4.7,196
wall hanging,terracotta,andhra pradesh,varanasi,metal casting,flipkart,4423,23,3.6,169
lamp,terracotta,west bengal,kanchipuram,hand-woven,meesho,7061,43,4.8,282
necklace,stone,west bengal,jaipur,traditional carving,amazon,7914,137,4.5,226
shawl,jute,rajasthan,hyderabad,block printing,etsy,7437,155,4.3,209
wall hanging,wood,west bengal,varanasi,handcrafted,etsy,7891,165,3.5,192
shawl,jute,karnataka,puri,traditional carving,meesho,2812,54,4.3,458
bracelet,terracotta,rajasthan,kolkata,handloom weaving,etsy,4182,242,3.5,152
saree,clay,tamil nadu,puri,loom weaving,amazon,1647,73,3.8,142
shawl,wood,gujarat,puri,pottery shaping,flipkart,6295,118,4.1,188
lamp,brass,gujarat,ahmedabad,handloom weaving,etsy,7521,195,3.8,7
saree,silk,gujarat,puri,handloom weaving,flipkart,667,89,4.7,178
statue,stone,gujarat,hyderabad,pottery shaping,flipkart,7022,219,3.9,277
shawl,wood,uttar pradesh,ahmedabad,block printing,meesho,5732,182,4.6,17
handbag,silk,tamil nadu,ahmedabad,traditional carving,amazon,7843,145,3.9,53
bracelet,silk,tamil nadu,ahmedabad,block printing,meesho,2928,220,3.9,284
vase,silk,west bengal,varanasi,metal casting,flipkart,561,231,3.7,106
necklace,wood,odisha,puri,metal casting,flipkart,5590,192,3.8,487
lamp,brass,tamil nadu,mysore,handloom weaving,meesho,6985,191,5.0,180
statue,wood,west bengal,kanchipuram,traditional carving,amazon,7569,208,4.3,243
necklace,stone,karnataka,mysore,traditional carving,etsy,1507,181,3.9,35
necklace,terracotta,odisha,kanchipuram,handloom weaving,amazon,6162,58,3.6,22
statue,clay,andhra pradesh,kanchipuram,pottery shaping,etsy,5492,113,3.9,226
shawl,stone,odisha,mysore,block printing,amazon,2523,136,3.8,409
bracelet,terracotta,rajasthan,kolkata,hand-woven,etsy,5898,122,3.9,456
necklace,jute,karnataka,hyderabad,hand-woven,meesho,3782,174,4.9,72
saree,cotton,uttar pradesh,hyderabad,metal casting,flipkart,5057,43,4.1,307
wall hanging,stone,gujarat,mysore,metal casting,amazon,3117,78,3.8,312
statue,cotton,west bengal,mysore,loom weaving,meesho,2533,245,4.0,126
statue,terracotta,west bengal,puri,metal casting,flipkart,6701,208,4.4,68
saree,silk,rajasthan,puri,pottery shaping,flipkart,3868,155,4.3,347
statue,terracotta,west bengal,kolkata,traditional carving,etsy,2308,36,3.6,276
handbag,silk,karnataka,puri,handcrafted,meesho,2286,208,4.0,86
shawl,silk,rajasthan,kolkata,handloom weaving,etsy,4812,152,4.5,274
necklace,cotton,west bengal,jaipur,metal casting,amazon,924,233,3.5,146
scarf,bamboo,odisha,hyderabad,traditional carving,amazon,6499,92,4.4,253
necklace,brass,andhra pradesh,puri,hand-woven,meesho,5441,164,4.8,288
saree,silk,karnataka,kanchipuram,handloom weaving,flipkart,3456,249,4.6,15
statue,brass,tamil nadu,kanchipuram,hand-woven,flipkart,7710,148,4.0,412
vase,jute,west bengal,hyderabad,hand-woven,amazon,7360,230,4.0,12
wall hanging,jute,tamil nadu,varanasi,metal casting,flipkart,2293,143,4.9,324
necklace,cotton,andhra pradesh,ahmedabad,metal casting,meesho,5434,209,4.6,101
scarf,silk,andhra pradesh,ahmedabad,hand-woven,etsy,6821,137,5.0,216
lamp,silk,gujarat,varanasi,metal casting,flipkart,6565,54,4.1,421
bracelet,wood,karnataka,kolkata,metal casting,meesho,4571,91,4.9,424
lamp,terracotta,rajasthan,varanasi,handcrafted,amazon,6499,240,4.0,334
necklace,clay,andhra pradesh,kanchipuram,handloom weaving,meesho,3150,19,4.3,183
lamp,bamboo,uttar pradesh,hyderabad,metal casting,amazon,946,92,4.5,286
lamp,terracotta,tamil nadu,mysore,loom weaving,meesho,4773,147,4.6,76
wall hanging,terracotta,gujarat,kolkata,metal casting,etsy,4577,200,4.2,435
lamp,stone,odisha,hyderabad,loom weaving,meesho,5628,197,4.8,225
scarf,brass,uttar pradesh,ahmedabad,traditional carving,flipkart,2380,233,4.9,480
bracelet,terracotta,west bengal,hyderabad,metal casting,meesho,6829,173,4.4,458
scarf,bamboo,gujarat,hyderabad,metal casting,amazon,5965,106,4.6,415
vase,wood,rajasthan,ahmedabad,pottery shaping,amazon,3949,214,3.9,135
handbag,bamboo,andhra pradesh,jaipur,block printing,etsy,3359,142,4.2,84
statue,jute,karnataka,ahmedabad,handloom weaving,flipkart,1714,82,3.5,269
statue,silk,uttar pradesh,varanasi,handloom weaving,flipkart,6458,78,3.6,83
vase,terracotta,karnataka,jaipur,pottery shaping,etsy,4235,238,4.5,219
lamp,brass,andhra pradesh,varanasi,handloom weaving,flipkart,2723,124,3.8,230
vase,bamboo,uttar pradesh,varanasi,traditional carving,meesho,3862,24,4.0,304
bracelet,wood,rajasthan,varanasi,hand-woven,meesho,7404,239,3.9,171
necklace,terracotta,gujarat,varanasi,hand-woven,amazon,282,214,4.6,331
bracelet,bamboo,rajasthan,mysore,pottery shaping,flipkart,3540,41,3.9,207
shawl,bamboo,gujarat,kanchipuram,handloom weaving,meesho,2804,89,3.8,422
vase,clay,tamil nadu,puri,hand-woven,etsy,5120,101,4.6,276
bracelet,terracotta,odisha,mysore,metal casting,etsy,5446,246,4.8,262
shawl,jute,karnataka,hyderabad,hand-woven,etsy,5535,128,4.9,186
vase,terracotta,gujarat,kanchipuram,pottery shaping,meesho,7314,200,4.5,266
bracelet,cotton,andhra pradesh,mysore,pottery shaping,amazon,6815,242,3.6,210
saree,brass,odisha,mysore,pottery shaping,flipkart,1179,62,3.8,395
necklace,brass,gujarat,ahmedabad,traditional carving,etsy,6803,191,4.4,298
saree,cotton,west bengal,jaipur,hand-woven,amazon,343,246,3.8,56
wall hanging,jute,andhra pradesh,kanchipuram,metal casting,flipkart,2094,92,4.9,222
statue,clay,odisha,kolkata,handcrafted,etsy,5231,207,4.0,179
necklace,clay,west bengal,ahmedabad,block printing,amazon,2281,250,4.8,222
lamp,jute,andhra pradesh,varanasi,hand-woven,meesho,2971,213,4.9,316
necklace,silk,tamil nadu,kolkata,traditional carving,meesho,2583,50,4.3,14
wall hanging,clay,uttar pradesh,varanasi,handcrafted,etsy,2838,90,4.8,227
shawl,cotton,andhra pradesh,varanasi,handcrafted,meesho,2999,43,3.8,12
wall hanging,bamboo,andhra pradesh,puri,metal casting,amazon,6169,87,4.5,302
handbag,stone,rajasthan,puri,block printing,flipkart,2659,188,3.5,305
statue,clay,uttar pradesh,varanasi,metal casting,amazon,3525,116,4.1,132
vase,silk,odisha,hyderabad,handcrafted,flipkart,7224,216,4.8,97
handbag,wood,karnataka,varanasi,traditional carving,etsy,2428,204,3.7,259
lamp,jute,tamil nadu,jaipur,hand-woven,flipkart,7122,68,4.2,259
scarf,brass,andhra pradesh,mysore,metal casting,amazon,3892,89,4.8,112
necklace,bamboo,west bengal,ahmedabad,handcrafted,amazon,1529,171,4.4,310
saree,jute,karnataka,puri,pottery shaping,amazon,6873,237,5.0,205
saree,clay,tamil nadu,ahmedabad,loom weaving,amazon,4002,154,3.6,77
shawl,terracotta,tamil nadu,jaipur,hand-woven,meesho,2386,188,3.7,90
saree,silk,gujarat,ahmedabad,block printing,meesho,3611,93,5.0,156
necklace,jute,uttar pradesh,hyderabad,loom weaving,etsy,5406,247,3.9,121
scarf,jute,uttar pradesh,mysore,pottery shaping,flipkart,6851,24,4.6,330
lamp,terracotta,gujarat,mysore,traditional carving,amazon,2857,245,3.6,235
bracelet,bamboo,andhra pradesh,hyderabad,metal casting,etsy,7748,35,3.9,499
bracelet,jute,odisha,puri,loom weaving,meesho,5898,228,5.0,304
vase,terracotta,odisha,jaipur,loom weaving,flipkart,7227,125,4.1,222
handbag,terracotta,tamil nadu,kolkata,block printing,etsy,5689,42,3.8,272
statue,clay,west bengal,kanchipuram,handloom weaving,flipkart,1257,24,4.5,175
scarf,terracotta,andhra pradesh,kolkata,loom weaving,amazon,1599,38,4.4,341
saree,silk,andhra pradesh,ahmedabad,handcrafted,amazon,2022,96,4.9,129
saree,silk,rajasthan,kolkata,loom weaving,etsy,2448,117,4.0,25
statue,terracotta,gujarat,varanasi,metal casting,meesho,3629,21,4.5,258
shawl,jute,karnataka,jaipur,traditional carving,amazon,7294,44,4.0,16
handbag,terracotta,karnataka,kanchipuram,handloom weaving,flipkart,4391,30,4.4,83
saree,stone,andhra pradesh,puri,handcrafted,meesho,693,145,3.9,230
bracelet,cotton,west bengal,jaipur,hand-woven,etsy,4557,233,3.6,422
scarf,stone,rajasthan,puri,block printing,amazon,7272,110,3.8,276
necklace,wood,andhra pradesh,mysore,metal casting,flipkart,681,96,4.7,178
handbag,terracotta,tamil nadu,jaipur,pottery shaping,amazon,7797,107,3.7,448
handbag,silk,odisha,mysore,metal casting,amazon,4171,154,4.6,410
handbag,silk,west bengal,kolkata,handcrafted,flipkart,4654,140,4.8,53
necklace,silk,west bengal,mysore,traditional carving,meesho,5911,228,5.0,311
statue,jute,karnataka,ahmedabad,hand-woven,etsy,1038,137,4.4,49
lamp,bamboo,tamil nadu,mysore,handcrafted,etsy,2326,93,3.6,391
bracelet,stone,uttar pradesh,ahmedabad,pottery shaping,etsy,7268,68,3.5,395
scarf,silk,andhra pradesh,puri,block printing,flipkart,7862,12,4.5,243
vase,stone,rajasthan,varanasi,handloom weaving,amazon,2857,249,4.2,210
handbag,wood,tamil nadu,kanchipuram,hand-woven,meesho,4331,229,4.7,246
wall hanging,wood,west bengal,varanasi,loom weaving,meesho,5830,149,4.5,232
shawl,brass,rajasthan,puri,hand-woven,meesho,1120,56,4.0,72
lamp,brass,gujarat,ahmedabad,block printing,etsy,945,147,3.9,17
vase,wood,andhra pradesh,ahmedabad,traditional carving,etsy,647,250,3.7,37
saree,wood,gujarat,jaipur,loom weaving,amazon,6554,54,4.9,344
handbag,stone,uttar pradesh,mysore,handcrafted,etsy,5574,232,4.8,336
shawl,cotton,karnataka,hyderabad,hand-woven,flipkart,736,248,4.5,275
vase,cotton,andhra pradesh,mysore,metal casting,flipkart,2054,123,4.7,43
saree,clay,uttar pradesh,kolkata,hand-woven,etsy,5053,87,4.0,241
wall hanging,jute,andhra pradesh,varanasi,handloom weaving,meesho,7935,239,4.7,116
bracelet,terracotta,uttar pradesh,varanasi,metal casting,etsy,6748,158,4.8,175
statue,wood,gujarat,mysore,handloom weaving,etsy,4300,173,4.8,121
saree,bamboo,uttar pradesh,ahmedabad,metal casting,flipkart,5812,196,4.7,463
saree,terracotta,karnataka,ahmedabad,hand-woven,etsy,468,147,4.9,286
statue,stone,andhra pradesh,hyderabad,handloom weaving,flipkart,3122,65,4.9,124
bracelet,wood,uttar pradesh,mysore,hand-woven,etsy,1865,26,4.8,255
necklace,jute,tamil nadu,kanchipuram,handcrafted,amazon,6900,210,4.1,116
saree,silk,gujarat,varanasi,block printing,etsy,527,46,4.0,20
necklace,cotton,uttar pradesh,kanchipuram,handcrafted,amazon,4160,25,3.9,67
lamp,jute,andhra pradesh,varanasi,handcrafted,meesho,2236,20,4.8,90
saree,silk,tamil nadu,hyderabad,metal casting,etsy,356,214,4.2,137
wall hanging,jute,karnataka,varanasi,pottery shaping,flipkart,3390,170,3.5,286
scarf,stone,uttar pradesh,hyderabad,loom weaving,flipkart,7518,183,3.9,70
lamp,terracotta,tamil nadu,ahmedabad,handloom weaving,etsy,6847,95,4.3,80
shawl,silk,andhra pradesh,mysore,traditional carving,flipkart,4428,130,4.8,449
saree,stone,andhra pradesh,mysore,block printing,etsy,7687,248,4.0,155
vase,wood,andhra pradesh,hyderabad,block printing,meesho,4991,10,4.8,164
necklace,jute,odisha,puri,block printing,flipkart,894,231,3.6,460
wall hanging,clay,rajasthan,varanasi,traditional carving,etsy,6170,66,4.1,410
scarf,brass,uttar pradesh,puri,handcrafted,amazon,2200,34,4.6,66
wall hanging,wood,tamil nadu,varanasi,traditional carving,amazon,7683,151,4.3,28
vase,wood,andhra pradesh,kanchipuram,handcrafted,amazon,7603,51,4.7,99
lamp,terracotta,rajasthan,kanchipuram,pottery shaping,amazon,1712,233,4.7,272
necklace,silk,andhra pradesh,kanchipuram,pottery shaping,amazon,5769,147,4.7,355
saree,stone,andhra pradesh,jaipur,metal casting,amazon,2200,48,4.0,370
wall hanging,silk,odisha,kanchipuram,metal casting,meesho,4555,64,4.3,166
necklace,bamboo,gujarat,varanasi,hand-woven,etsy,4947,234,4.5,185
vase,clay,west bengal,puri,handloom weaving,flipkart,3051,14,4.5,468
bracelet,cotton,odisha,varanasi,handcrafted,amazon,2226,140,4.1,480
shawl,terracotta,uttar pradesh,kolkata,traditional carving,amazon,6688,97,4.3,84
shawl,clay,odisha,ahmedabad,handloom weaving,amazon,747,232,3.6,333
shawl,clay,west bengal,mysore,handcrafted,etsy,3900,22,3.6,41
vase,clay,tamil nadu,hyderabad,traditional carving,etsy,2301,78,3.8,408
handbag,jute,west bengal,ahmedabad,metal casting,flipkart,4641,83,4.4,40
scarf,jute,west bengal,mysore,handcrafted,etsy,6473,206,4.9,230
bracelet,wood,west bengal,hyderabad,handcrafted,flipkart,230,216,4.7,266
handbag,terracotta,west bengal,jaipur,block printing,etsy,775,141,4.6,292
statue,clay,gujarat,kanchipuram,handcrafted,etsy,912,203,4.0,285
vase,clay,west bengal,kolkata,handloom weaving,amazon,2894,122,3.8,477
scarf,silk,karnataka,mysore,hand-woven,etsy,6784,85,3.9,175
saree,jute,karnataka,ahmedabad,traditional carving,amazon,2133,181,4.0,94
necklace,bamboo,andhra pradesh,varanasi,block printing,meesho,3617,19,4.5,372
necklace,clay,uttar pradesh,kolkata,pottery shaping,etsy,5077,27,4.1,445
wall hanging,stone,uttar pradesh,kolkata,loom weaving,amazon,1031,219,4.3,344
statue,stone,tamil nadu,hyderabad,hand-woven,flipkart,1150,200,3.6,328
lamp,jute,tamil nadu,kolkata,metal casting,meesho,7800,109,3.8,325
bracelet,terracotta,odisha,varanasi,handloom weaving,flipkart,1827,78,4.8,106
saree,jute,odisha,mysore,loom weaving,flipkart,4582,239,4.7,77
shawl,silk,uttar pradesh,mysore,handloom weaving,amazon,363,86,3.8,479
necklace,terracotta,gujarat,kolkata,hand-woven,flipkart,7479,13,3.7,384
shawl,brass,west bengal,hyderabad,traditional carving,etsy,5055,135,3.7,126
vase,jute,gujarat,ahmedabad,handcrafted,etsy,740,131,4.7,444
saree,clay,uttar pradesh,puri,pottery shaping,etsy,5481,121,3.7,105
lamp,wood,gujarat,varanasi,handcrafted,meesho,3412,131,3.7,139
shawl,cotton,west bengal,kolkata,hand-woven,etsy,374,189,4.0,294
necklace,jute,uttar pradesh,puri,block printing,flipkart,7527,52,4.5,249
statue,clay,west bengal,ahmedabad,handcrafted,meesho,7133,204,3.9,330
handbag,terracotta,tamil nadu,puri,handcrafted,etsy,1529,171,4.2,287
shawl,clay,tamil nadu,varanasi,pottery shaping,meesho,3886,91,3.6,239
shawl,clay,karnataka,ahmedabad,pottery shaping,etsy,7784,157,4.2,265
handbag,wood,west bengal,kanchipuram,handcrafted,etsy,1691,207,3.6,340
shawl,silk,odisha,jaipur,loom weaving,flipkart,4424,83,4.7,267
handbag,wood,andhra pradesh,varanasi,pottery shaping,meesho,1029,76,3.9,360
saree,stone,tamil nadu,mysore,metal casting,meesho,5595,243,4.8,85
vase,terracotta,karnataka,ahmedabad,pottery shaping,amazon,4287,16,4.3,199
necklace,wood,tamil nadu,kanchipuram,handloom weaving,flipkart,5905,118,4.0,440
bracelet,bamboo,odisha,mysore,block printing,etsy,7177,244,4.7,257
saree,cotton,gujarat,jaipur,pottery shaping,meesho,812,128,3.6,81
shawl,cotton,odisha,puri,pottery shaping,etsy,899,137,3.8,366
statue,silk,west bengal,kanchipuram,handcrafted,etsy,1455,49,4.8,395
necklace,bamboo,andhra pradesh,kanchipuram,hand-woven,etsy,6120,145,3.7,52
lamp,wood,uttar pradesh,puri,pottery shaping,flipkart,7427,233,4.6,354
necklace,cotton,gujarat,jaipur,block printing,etsy,4446,145,4.4,163
handbag,terracotta,tamil nadu,jaipur,handcrafted,etsy,261,136,4.3,70
statue,bamboo,karnataka,mysore,traditional carving,amazon,4445,21,4.4,244
statue,bamboo,odisha,mysore,block printing,amazon,2569,228,4.6,459
lamp,wood,andhra pradesh,mysore,handloom weaving,flipkart,4019,49,4.9,108
lamp,brass,andhra pradesh,jaipur,block printing,meesho,3297,198,4.1,273
shawl,wood,andhra pradesh,ahmedabad,traditional carving,flipkart,1305,244,5.0,180
bracelet,jute,andhra pradesh,mysore,metal casting,flipkart,5603,26,4.1,305
lamp,clay,gujarat,ahmedabad,loom weaving,amazon,2901,134,3.5,309
saree,wood,tamil nadu,jaipur,metal casting,amazon,2831,150,4.6,457
wall hanging,bamboo,gujarat,jaipur,loom weaving,amazon,6270,225,3.8,317
wall hanging,bamboo,west bengal,kolkata,handcrafted,etsy,1865,18,4.3,458
lamp,silk,rajasthan,mysore,handloom weaving,amazon,6823,20,3.6,254
shawl,jute,rajasthan,puri,pottery shaping,meesho,7417,143,3.6,171
wall hanging,terracotta,andhra pradesh,ahmedabad,handloom weaving,meesho,7042,126,4.6,404
wall hanging,stone,odisha,hyderabad,loom weaving,etsy,4216,163,3.6,168
wall hanging,jute,andhra pradesh,kolkata,handloom weaving,flipkart,7250,178,4.0,381
handbag,cotton,karnataka,kolkata,metal casting,etsy,6995,122,4.2,252
shawl,wood,tamil nadu,kanchipuram,loom weaving,amazon,6389,186,3.6,301
handbag,cotton,karnataka,ahmedabad,loom weaving,etsy,5469,11,4.1,432
vase,cotton,odisha,puri,handloom weaving,meesho,7759,131,4.7,213
scarf,bamboo,west bengal,ahmedabad,pottery shaping,etsy,3890,152,3.8,230
lamp,wood,odisha,varanasi,loom weaving,etsy,1145,208,4.7,398
statue,cotton,gujarat,kolkata,hand-woven,etsy,7492,37,4.9,110
lamp,silk,gujarat,ahmedabad,loom weaving,meesho,836,110,4.9,31
bracelet,stone,andhra pradesh,puri,loom weaving,flipkart,3974,169,4.1,50
wall hanging,cotton,uttar pradesh,kanchipuram,handcrafted,flipkart,6453,122,4.9,37
bracelet,cotton,uttar pradesh,mysore,pottery shaping,flipkart,7884,248,4.8,366
saree,cotton,uttar pradesh,mysore,traditional carving,etsy,3986,233,3.6,252
bracelet,brass,andhra pradesh,jaipur,pottery shaping,amazon,3080,191,4.6,111
statue,wood,tamil nadu,jaipur,loom weaving,flipkart,3609,25,4.1,65
shawl,terracotta,andhra pradesh,ahmedabad,loom weaving,meesho,7830,91,4.7,106
bracelet,brass,karnataka,hyderabad,block printing,flipkart,4778,233,4.3,106
statue,clay,andhra pradesh,jaipur,hand-woven,meesho,7515,127,4.6,265
handbag,bamboo,andhra pradesh,puri,metal casting,etsy,2113,168,4.4,454
scarf,silk,west bengal,ahmedabad,metal casting,flipkart,6869,87,4.8,147
bracelet,silk,uttar pradesh,kolkata,hand-woven,etsy,2263,64,3.8,289
handbag,clay,andhra pradesh,puri,block printing,flipkart,7733,120,4.6,266
